Incident_ID,Created_Date,Resolved_Date,Severity,Category,Affected_Server,Affected_Application,Root_Cause_Category,Resolution_Description,Downtime_Minutes,Business_Impact,Assigned_Team
INC-2024-0401,2024-01-31,2024-02-01,P3,Application,SRV-C-030,DevOps-Pipeline,Vendor Issue,Engaged vendor support and applied recommended fix,30,Regulatory Risk,Network Ops
INC-2024-0402,2024-08-23,2024-08-23,P4,Database,SRV-W-002,DevOps-Pipeline,Configuration Error,Rebuilt index and optimized database query execution,0,Regulatory Risk,Network Ops
INC-2024-0403,2024-05-06,2024-05-08,P3,Network,SRV-W-038,HR-Portal,Configuration Error,Corrected configuration and validated with smoke test,0,No Impact,Database Admin
INC-2024-0404,2024-11-21,2024-11-21,P1,Application,SRV-E-001,ProjectTracker,Configuration Error,Increased connection pool size and restarted application,0,Customer Impact,Application Support
INC-2024-0405,2024-12-18,2024-12-18,P2,Database,SRV-C-036,IT-ServiceDesk,Security Incident,Restored network path and updated routing tables,45,Regulatory Risk,Cloud Ops
INC-2024-0406,2024-08-14,2024-08-15,P4,Network,SRV-E-001,DocumentMgmt,Network Outage,Rebuilt index and optimized database query execution,0,No Impact,Database Admin
INC-2024-0407,2024-08-25,2024-08-26,P1,Database,SRV-E-011,ProjectTracker,Security Incident,Restored network path and updated routing tables,240,Productivity Loss,Cloud Ops
INC-2024-0408,2024-01-29,2024-01-31,P2,Database,SRV-C-016,MonitoringDashboard,Software Bug,Restarted affected services and cleared error state,60,Regulatory Risk,Security Ops
INC-2024-0409,2024-04-29,2024-04-29,P3,Application,SRV-W-037,ComplianceTracker,Human Error,Restarted affected services and cleared error state,120,Regulatory Risk,Security Ops
INC-2024-0410,2024-04-08,2024-04-09,P4,Network,SRV-C-016,HR-Portal,Software Bug,Restored network path and updated routing tables,0,Revenue Loss,Infrastructure Ops
INC-2024-0411,2024-02-27,2024-02-28,P3,Network,SRV-E-011,VideoConference,Capacity Exceeded,Applied hotfix and restarted application service,360,Regulatory Risk,Network Ops
INC-2024-0412,2024-02-18,2024-02-19,P3,Software,SRV-C-006,CRM-Enterprise,Human Error,Blocked malicious traffic and updated firewall rules,45,Regulatory Risk,Infrastructure Ops
INC-2024-0413,2024-12-01,2024-12-02,P3,Network,SRV-C-020,SupplyChainPro,Hardware Failure,Restored network path and updated routing tables,120,Customer Impact,Cloud Ops
INC-2024-0414,2024-10-27,2024-10-28,P3,Software,SRV-W-019,Email-Exchange,Network Outage,Migrated workload to standby node and verified failover,60,Regulatory Risk,Infrastructure Ops
INC-2024-0415,2024-08-18,2024-08-19,P3,Application,SRV-C-010,SalesForce-Integration,Network Outage,Restarted affected services and cleared error state,360,Customer Impact,Cloud Ops
INC-2024-0416,2024-11-03,2024-11-03,P3,Infrastructure,SRV-E-049,TravelBooking,Hardware Failure,Applied hotfix and restarted application service,60,Customer Impact,Application Support
INC-2024-0417,2024-07-08,2024-07-08,P4,Security,SRV-C-026,LDAP-Directory,Configuration Error,Restored network path and updated routing tables,0,No Impact,Infrastructure Ops
INC-2024-0418,2024-11-13,2024-11-13,P2,Application,SRV-W-006,HR-Portal,Vendor Issue,Patched vulnerability and validated remediation,30,Productivity Loss,Infrastructure Ops
INC-2024-0419,2024-02-14,2024-02-14,P4,Database,SRV-E-024,VPN-Gateway,Vendor Issue,Replaced faulty component and restored service,0,Regulatory Risk,Security Ops
INC-2024-0420,2024-03-02,2024-03-03,P4,Software,SRV-C-024,LDAP-Directory,Network Outage,Corrected configuration and validated with smoke test,0,Productivity Loss,Cloud Ops
INC-2024-0421,2024-02-12,2024-02-13,P3,Application,SRV-E-028,E-Commerce-Platform,Vendor Issue,Corrected configuration and validated with smoke test,0,Revenue Loss,Infrastructure Ops
INC-2024-0422,2024-04-06,2024-04-07,P3,Network,SRV-C-018,FinanceHub,Human Error,Rebuilt index and optimized database query execution,240,No Impact,Infrastructure Ops
INC-2024-0423,2024-06-15,2024-06-15,P1,Application,SRV-C-008,SalesForce-Integration,Software Bug,Applied emergency patch to integration middleware,180,Revenue Loss,Application Support
INC-2024-0424,2024-03-28,2024-03-29,P4,Hardware,SRV-C-009,VideoConference,Human Error,Rebuilt index and optimized database query execution,0,Regulatory Risk,Application Support
INC-2024-0425,2024-07-24,2024-07-25,P1,Infrastructure,SRV-W-050,CustomerPortal,Network Outage,Replaced faulty component and restored service,360,Regulatory Risk,Infrastructure Ops
INC-2024-0426,2024-11-04,2024-11-04,P3,Software,SRV-C-016,SecuritySIEM,Human Error,Restarted affected services and cleared error state,90,No Impact,Infrastructure Ops
INC-2024-0427,2024-08-22,2024-08-23,P4,Database,SRV-E-025,LegalDocs,Security Incident,Rebuilt index and optimized database query execution,0,Customer Impact,Database Admin
INC-2024-0428,2024-07-12,2024-07-12,P2,Infrastructure,SRV-W-023,ComplianceTracker,Vendor Issue,Expanded resource allocation and tuned thresholds,90,Productivity Loss,Network Ops
INC-2024-0429,2024-09-16,2024-09-16,P4,Application,SRV-C-020,ProjectTracker,Human Error,Migrated workload to standby node and verified failover,0,Revenue Loss,Cloud Ops
INC-2024-0430,2024-12-15,2024-12-15,P3,Hardware,SRV-W-047,DataWarehouse,Capacity Exceeded,Increased connection pool size and restarted application,30,Regulatory Risk,Network Ops
INC-2024-0431,2024-08-02,2024-08-03,P4,Database,SRV-C-035,E-Commerce-Platform,Hardware Failure,Blocked malicious traffic and updated firewall rules,0,Revenue Loss,Security Ops
INC-2024-0432,2024-05-24,2024-05-25,P4,Security,SRV-W-003,ComplianceTracker,Security Incident,Applied hotfix and restarted application service,15,Customer Impact,Network Ops
INC-2024-0433,2024-09-29,2024-10-01,P2,Software,SRV-W-047,LogAggregator,Vendor Issue,Corrected configuration and validated with smoke test,45,Customer Impact,Application Support
INC-2024-0434,2024-05-08,2024-05-08,P4,Hardware,SRV-E-007,SecuritySIEM,Network Outage,Restored network path and updated routing tables,0,No Impact,Infrastructure Ops
INC-2024-0435,2024-07-30,2024-07-30,P3,Database,SRV-W-027,FileServer-Central,Vendor Issue,Migrated workload to standby node and verified failover,30,Productivity Loss,Application Support
INC-2024-0436,2024-05-05,2024-05-06,P2,Hardware,SRV-W-013,MarketingAutomation,Security Incident,Applied hotfix and restarted application service,360,No Impact,Infrastructure Ops
INC-2024-0437,2024-10-02,2024-10-03,P3,Application,SRV-E-022,SalesForce-Integration,Security Incident,Blocked malicious traffic and updated firewall rules,0,Productivity Loss,Infrastructure Ops
INC-2024-0438,2024-04-14,2024-04-14,P4,Security,SRV-C-021,HR-Portal,Capacity Exceeded,Blocked malicious traffic and updated firewall rules,0,Productivity Loss,Application Support
INC-2024-0439,2024-05-21,2024-05-21,P2,Database,SRV-W-047,LDAP-Directory,Hardware Failure,Replaced faulty component and restored service,60,No Impact,Application Support
INC-2024-0440,2024-09-27,2024-09-28,P2,Network,SRV-W-042,DevOps-Pipeline,Vendor Issue,Expanded resource allocation and tuned thresholds,360,Regulatory Risk,Network Ops
INC-2024-0441,2024-02-20,2024-02-21,P4,Database,SRV-C-043,QA-TestSuite,Network Outage,Expanded resource allocation and tuned thresholds,15,Regulatory Risk,Network Ops
INC-2024-0442,2024-03-25,2024-03-25,P4,Software,SRV-C-002,MarketingAutomation,Security Incident,Replaced faulty component and restored service,0,No Impact,Network Ops
INC-2024-0443,2024-05-19,2024-05-19,P4,Software,SRV-E-010,TravelBooking,Vendor Issue,Rebuilt index and optimized database query execution,0,No Impact,Infrastructure Ops
INC-2024-0444,2024-05-24,2024-05-25,P4,Network,SRV-E-038,CRM-Enterprise,Vendor Issue,Rebuilt index and optimized database query execution,0,Customer Impact,Cloud Ops
INC-2024-0445,2024-09-02,2024-09-02,P1,Network,SRV-C-008,SalesForce-Integration,Network Outage,Restored WAN link and failed over to backup path,240,Customer Impact,Network Ops
INC-2024-0446,2024-01-15,2024-01-15,P3,Database,SRV-C-031,VPN-Gateway,Hardware Failure,Migrated workload to standby node and verified failover,240,Customer Impact,Application Support
INC-2024-0447,2024-01-18,2024-01-19,P4,Application,SRV-E-012,CI-CD-Pipeline,Security Incident,Rebuilt index and optimized database query execution,0,Customer Impact,Infrastructure Ops
INC-2024-0448,2024-05-18,2024-05-19,P2,Application,SRV-E-007,SupplyChainPro,Software Bug,Restored network path and updated routing tables,0,Productivity Loss,Application Support
INC-2024-0449,2024-03-27,2024-03-27,P3,Software,SRV-E-004,CI-CD-Pipeline,Vendor Issue,Rebuilt index and optimized database query execution,120,No Impact,Security Ops
INC-2024-0450,2024-06-07,2024-06-07,P4,Hardware,SRV-W-029,VideoConference,Hardware Failure,Rebuilt index and optimized database query execution,0,Customer Impact,Cloud Ops
INC-2024-0451,2024-10-03,2024-10-03,P3,Application,SRV-W-034,SupplyChainPro,Capacity Exceeded,Increased memory allocation and restarted JVM,45,Productivity Loss,Application Support
INC-2024-0452,2024-09-14,2024-09-15,P3,Security,SRV-W-022,BI-Analytics,Software Bug,Migrated workload to standby node and verified failover,0,Productivity Loss,Application Support
INC-2024-0453,2024-04-20,2024-04-21,P1,Network,SRV-E-001,DevOps-Pipeline,Software Bug,Reverted change and implemented rollback procedure,45,Revenue Loss,Application Support
INC-2024-0454,2024-08-05,2024-08-06,P3,Infrastructure,SRV-W-031,CI-CD-Pipeline,Network Outage,Engaged vendor support and applied recommended fix,360,Regulatory Risk,Cloud Ops
INC-2024-0455,2024-05-26,2024-05-27,P3,Network,SRV-E-016,LDAP-Directory,Software Bug,Blocked malicious traffic and updated firewall rules,360,Customer Impact,Network Ops
INC-2024-0456,2024-11-14,2024-11-15,P4,Hardware,SRV-E-052,PayrollEngine,Software Bug,Expanded resource allocation and tuned thresholds,0,Productivity Loss,Cloud Ops
INC-2024-0457,2024-03-03,2024-03-04,P2,Hardware,SRV-W-025,VideoConference,Human Error,Applied hotfix and restarted application service,90,Revenue Loss,Infrastructure Ops
INC-2024-0458,2024-03-03,2024-03-04,P1,Software,SRV-W-027,HR-Portal,Hardware Failure,Patched vulnerability and validated remediation,0,Revenue Loss,Network Ops
INC-2024-0459,2024-10-16,2024-10-17,P4,Security,SRV-W-028,API-Gateway,Vendor Issue,Restarted affected services and cleared error state,0,Regulatory Risk,Cloud Ops
INC-2024-0460,2024-09-18,2024-09-19,P4,Database,SRV-C-014,InventoryMgmt,Software Bug,Cleared disk space and implemented log rotation policy,15,Regulatory Risk,Network Ops
INC-2024-0461,2024-07-16,2024-07-17,P3,Infrastructure,SRV-C-028,DocumentMgmt,Security Incident,Cleared disk space and implemented log rotation policy,180,Revenue Loss,Application Support
INC-2024-0462,2024-09-17,2024-09-17,P4,Network,SRV-C-007,FileServer-Central,Hardware Failure,Patched vulnerability and validated remediation,15,Revenue Loss,Database Admin
INC-2024-0463,2024-08-02,2024-08-02,P4,Database,SRV-C-030,API-Gateway,Human Error,Patched vulnerability and validated remediation,0,Revenue Loss,Security Ops
INC-2024-0464,2024-06-16,2024-06-16,P2,Database,SRV-C-021,CI-CD-Pipeline,Security Incident,Replaced faulty component and restored service,0,Customer Impact,Database Admin
INC-2024-0465,2024-03-06,2024-03-07,P3,Software,SRV-W-030,FinanceHub,Configuration Error,Restored network path and updated routing tables,15,Productivity Loss,Database Admin
INC-2024-0489,2024-10-22,2024-10-22,P2,Database,SRV-W-034,SupplyChainPro,Configuration Error,Increased connection pool size and restarted application,120,Revenue Loss,Database Admin
INC-2024-0512,2024-11-08,2024-11-08,P3,Application,SRV-W-034,SupplyChainPro,Software Bug,Extended scheduled job timeout threshold and redeployed,30,Productivity Loss,Application Support
INC-2024-0558,2024-12-12,2024-12-12,P4,Infrastructure,SRV-W-034,SupplyChainPro,Configuration Error,Fixed log rotation configuration and cleared old logs,0,No Impact,Infrastructure Ops
INC-2024-0559,2024-08-01 00:00:00,2024-08-01 00:00:00,P4,Compute,SRV-W-050,BackupManager,Human Error,Restarted Docker containers,0,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0141,No
INC-2024-0560,2024-07-10 00:00:00,2024-07-10 00:00:00,P4,Database,SRV-E-141,Microservice-072,Software Bug,Restarted Docker containers,0,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0147,No
INC-2024-0561,2024-06-30 00:00:00,2024-06-30 00:00:00,P3,Application Software,SRV-W-074,Microservice-075,Third Party Outage,Cleared storage log partition to free up space,0,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0152,No
INC-2024-0562,2024-02-09 00:00:00,2024-02-09 00:00:00,P4,Compute,SRV-W-023,DevOps-Pipeline,Capacity Saturation,Failover to database replication node,30,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0230,No
INC-2024-0563,2024-12-19 00:00:00,2024-12-19 00:00:00,P1,Network,SRV-C-084,VPN-Gateway,Third Party Outage,Cleared storage log partition to free up space,120,Enterprise wide outage,Network Ops,Yes,No,Level 2,CR-2024-0125,Yes
INC-2024-0564,2024-11-30 00:00:00,2024-11-30 00:00:00,P1,Application Software,SRV-C-040,FileServer-Central,Capacity Saturation,Restarted JVM application server process,120,Enterprise wide outage,Database Admin,Yes,No,Level 2,CR-2024-0252,Yes
INC-2024-0565,2024-06-17 00:00:00,2024-06-17 00:00:00,P2,Network,SRV-W-118,MarketingAutomation,Third Party Outage,Cleared storage log partition to free up space,0,Single service degradation,Network Ops,Yes,Yes,Level 2,CR-2024-0250,No
INC-2024-0566,2024-08-10 00:00:00,2024-08-10 00:00:00,P1,Storage,SRV-W-012,CRM-Enterprise,Software Bug,Restarted JVM application server process,15,Enterprise wide outage,Network Ops,Yes,Yes,Level 2,CR-2024-0238,Yes
INC-2024-0567,2024-06-24 00:00:00,2024-06-24 00:00:00,P4,Compute,SRV-E-007,CI-CD-Pipeline,Hardware Fault,Restored data from local backup volume,15,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0199,No
INC-2024-0568,2024-04-01 00:00:00,2024-04-01 00:00:00,P4,Application Software,SRV-W-050,MarketingAutomation,Third Party Outage,Replaced faulty fiber patch cable,0,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0259,No
INC-2024-0569,2024-02-01 00:00:00,2024-02-01 00:00:00,P4,Database,SRV-W-025,Microservice-099,Third Party Outage,Reconfigured load balancer session persistence,0,Internal operations affected,Database Admin,Yes,Yes,Level 0,CR-2024-0151,No
INC-2024-0570,2024-07-05 00:00:00,2024-07-05 00:00:00,P3,Storage,SRV-E-043,Microservice-064,Software Bug,Failover to database replication node,0,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0152,No
INC-2024-0571,2024-03-24 00:00:00,2024-03-24 00:00:00,P3,Storage,SRV-C-018,PayrollEngine,Third Party Outage,Rebooted host operating system,15,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0100,No
INC-2024-0572,2024-12-02 00:00:00,2024-12-02 00:00:00,P2,Security,SRV-E-052,QA-TestSuite,Third Party Outage,Reconfigured load balancer session persistence,180,Single service degradation,Infrastructure Ops,Yes,No,Level 2,CR-2024-0292,No
INC-2024-0573,2024-08-23 00:00:00,2024-08-23 00:00:00,P2,Storage,SRV-E-102,DevOps-Pipeline,Human Error,Failover to database replication node,120,Single service degradation,Application Support,Yes,No,Level 2,CR-2024-0201,No
INC-2024-0574,2024-04-01 00:00:00,2024-04-01 00:00:00,P3,Application Software,SRV-C-008,VideoConference,Capacity Saturation,Updated local SSL/TLS certificate chain,15,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0206,No
INC-2024-0575,2024-06-15 00:00:00,2024-06-15 00:00:00,P1,Application Software,SRV-W-098,Microservice-096,Software Bug,Restarted Docker containers,0,Enterprise wide outage,Database Admin,Yes,Yes,Level 2,CR-2024-0151,Yes
INC-2024-0576,2024-03-10 00:00:00,2024-03-10 00:00:00,P3,Security,SRV-W-007,LegalDocs,Third Party Outage,Updated local SSL/TLS certificate chain,30,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0297,No
INC-2024-0577,2024-12-09 00:00:00,2024-12-09 00:00:00,P3,Database,SRV-E-025,Microservice-047,Third Party Outage,Updated local SSL/TLS certificate chain,0,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0127,No
INC-2024-0578,2024-11-18 00:00:00,2024-11-18 00:00:00,P2,Compute,SRV-C-070,FinanceHub,Human Error,Restored data from local backup volume,0,Single service degradation,Cloud Ops,Yes,Yes,Level 2,CR-2024-0194,No
INC-2024-0579,2024-07-24 00:00:00,2024-07-24 00:00:00,P4,Security,SRV-E-143,Microservice-040,Capacity Saturation,Restored data from local backup volume,45,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0167,No
INC-2024-0580,2024-08-16 00:00:00,2024-08-16 00:00:00,P2,Compute,SRV-E-077,ERP-Core,Hardware Fault,Rebooted host operating system,0,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0254,No
INC-2024-0581,2024-04-06 00:00:00,2024-04-06 00:00:00,P4,Storage,SRV-E-147,Microservice-045,Software Bug,Updated IPS threat signatures and blocked attacking IP,120,Internal operations affected,Cloud Ops,Yes,No,Level 0,CR-2024-0180,No
INC-2024-0582,2024-07-17 00:00:00,2024-07-17 00:00:00,P3,Compute,SRV-W-050,DataWarehouse,Capacity Saturation,Restarted JVM application server process,0,Internal operations affected,Application Support,Yes,Yes,Level 1,CR-2024-0120,No
INC-2024-0583,2024-03-14 00:00:00,2024-03-14 00:00:00,P2,Compute,SRV-W-080,MonitoringDashboard,Hardware Fault,Cleared storage log partition to free up space,45,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0231,No
INC-2024-0584,2024-01-17 00:00:00,2024-01-17 00:00:00,P4,Compute,SRV-E-022,DocumentMgmt,Hardware Fault,Restored data from local backup volume,60,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0248,No
INC-2024-0585,2024-04-15 00:00:00,2024-04-15 00:00:00,P3,Security,SRV-W-044,VPN-Gateway,Human Error,Rebooted host operating system,45,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 1,CR-2024-0124,No
INC-2024-0586,2024-09-27 00:00:00,2024-09-27 00:00:00,P3,Security,SRV-C-081,Microservice-053,Third Party Outage,Rebooted host operating system,30,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0138,No
INC-2024-0587,2024-10-28 00:00:00,2024-10-28 00:00:00,P3,Storage,SRV-W-097,Microservice-054,Capacity Saturation,Rebooted host operating system,60,Internal operations affected,Network Ops,Yes,Yes,Level 1,CR-2024-0269,No
INC-2024-0588,2024-01-15 00:00:00,2024-01-15 00:00:00,P3,Application Software,SRV-C-020,Microservice-085,Third Party Outage,Rebooted host operating system,120,Internal operations affected,Network Ops,Yes,No,Level 1,CR-2024-0220,No
INC-2024-0589,2024-08-12 00:00:00,2024-08-12 00:00:00,P3,Compute,SRV-W-062,Microservice-039,Software Bug,Reconfigured load balancer session persistence,0,Internal operations affected,Database Admin,Yes,Yes,Level 1,CR-2024-0259,No
INC-2024-0590,2024-01-30 00:00:00,2024-01-30 00:00:00,P4,Network,SRV-E-052,Microservice-079,Software Bug,Rebooted host operating system,0,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0179,No
INC-2024-0591,2024-04-20 00:00:00,2024-04-20 00:00:00,P4,Database,SRV-W-103,Email-Exchange,Capacity Saturation,Restarted JVM application server process,0,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0184,No
INC-2024-0592,2024-03-24 00:00:00,2024-03-24 00:00:00,P3,Security,SRV-E-131,Microservice-088,Capacity Saturation,Cleared storage log partition to free up space,120,Internal operations affected,Application Support,Yes,No,Level 1,CR-2024-0241,No
INC-2024-0593,2024-10-21 00:00:00,2024-10-21 00:00:00,P2,Application Software,SRV-W-096,Microservice-098,Hardware Fault,Restarted JVM application server process,30,Single service degradation,Infrastructure Ops,Yes,Yes,Level 2,CR-2024-0300,No
INC-2024-0594,2024-02-05 00:00:00,2024-02-05 00:00:00,P1,Compute,SRV-C-034,DocumentMgmt,Software Bug,Updated IPS threat signatures and blocked attacking IP,0,Enterprise wide outage,Application Support,Yes,Yes,Level 2,CR-2024-0227,Yes
INC-2024-0595,2024-07-08 00:00:00,2024-07-08 00:00:00,P4,Database,SRV-C-031,VideoConference,Capacity Saturation,Updated local SSL/TLS certificate chain,180,Internal operations affected,Infrastructure Ops,Yes,No,Level 0,CR-2024-0232,No
INC-2024-0596,2024-01-16 00:00:00,2024-01-16 00:00:00,P2,Database,SRV-W-115,Microservice-088,Hardware Fault,Reconfigured load balancer session persistence,60,Single service degradation,Security Ops,Yes,Yes,Level 2,CR-2024-0128,No
INC-2024-0597,2024-06-16 00:00:00,2024-06-16 00:00:00,P4,Compute,SRV-W-080,Microservice-073,Hardware Fault,Cleared storage log partition to free up space,30,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0286,No
INC-2024-0598,2024-11-11 00:00:00,2024-11-11 00:00:00,P3,Security,SRV-C-070,Microservice-100,Software Bug,Rebooted host operating system,120,Internal operations affected,Database Admin,Yes,No,Level 1,CR-2024-0287,No
INC-2024-0599,2024-05-21 00:00:00,2024-05-21 00:00:00,P4,Database,SRV-W-029,Microservice-089,Software Bug,Updated IPS threat signatures and blocked attacking IP,0,Internal operations affected,Infrastructure Ops,Yes,Yes,Level 0,CR-2024-0286,No
INC-2024-0600,2024-07-22 00:00:00,2024-07-22 00:00:00,P2,Security,SRV-E-136,MobileApp-Backend,Hardware Fault,Restarted JVM application server process,60,Single service degradation,Network Ops,Yes,Yes,Level 2,CR-2024-0243,No
INC-2024-0601,2024-01-03 00:00:00,2024-01-03 00:00:00,P2,Security,SRV-C-043,API-Gateway,Human Error,Restarted JVM application server process,0,Single service degradation,Application Support,Yes,Yes,Level 2,CR-2024-0256,No
INC-2024-0602,2024-11-14 00:00:00,2024-11-14 00:00:00,P3,Compute,SRV-E-016,SupplyChainPro,Capacity Saturation,Reconfigured load balancer session persistence,45,Internal operations affected,Cloud Ops,Yes,Yes,Level 1,CR-2024-0248,No
INC-2024-0603,2024-07-24 00:00:00,2024-07-24 00:00:00,P3,Security,SRV-W-001,Microservice-065,Human Error,Updated local SSL/TLS certificate chain,180,Internal operations affected,Infrastructure Ops,Yes,No,Level 1,CR-2024-0268,No
INC-2024-0604,2024-09-01 00:00:00,2024-09-01 00:00:00,P4,Storage,SRV-W-079,CI-CD-Pipeline,Hardware Fault,Replaced faulty fiber patch cable,180,Internal operations affected,Network Ops,Yes,No,Level 0,CR-2024-0269,No
INC-2024-0605,2024-06-10 00:00:00,2024-06-10 00:00:00,P4,Database,SRV-W-107,PayrollEngine,Capacity Saturation,Replaced faulty fiber patch cable,120,Internal operations affected,Cloud Ops,Yes,No,Level 0,CR-2024-0210,No
INC-2024-0606,2024-04-27 00:00:00,2024-04-27 00:00:00,P4,Database,SRV-E-087,Microservice-081,Hardware Fault,Failover to database replication node,0,Internal operations affected,Application Support,Yes,Yes,Level 0,CR-2024-0273,No
INC-2024-0607,2024-05-18 00:00:00,2024-05-18 00:00:00,P4,Storage,SRV-W-018,Microservice-042,Third Party Outage,Failover to database replication node,15,Internal operations affected,Security Ops,Yes,Yes,Level 0,CR-2024-0110,No
