Report_Month,Server_ID,Hostname,IP_Address,CPU_Avg_Pct,CPU_Peak_Pct,Memory_Avg_Pct,Memory_Peak_Pct,Disk_Used_Pct,Network_In_Mbps,Network_Out_Mbps,Uptime_Pct,Alert_Count
2024-10,SRV-E-001,srve001,10.1.101.11,66.8,89.7,43.9,51.0,42.0,50.0,105.3,98.62,7
2024-10,SRV-E-002,srve002,10.1.102.12,19.5,30.7,32.8,43.5,59.8,122.8,128.9,98.92,10
2024-10,SRV-E-003,srve003,10.1.103.13,65.7,83.9,63.7,76.2,41.3,131.8,210.2,98.79,6
2024-10,SRV-E-004,srve004,10.1.104.14,22.9,40.8,58.4,68.1,29.9,367.0,150.5,99.18,7
2024-10,SRV-E-005,srve005,10.1.105.15,53.8,67.2,77.5,86.8,60.8,267.4,194.1,98.78,7
2024-10,SRV-E-006,srve006,10.1.106.16,66.6,88.3,41.8,59.7,55.5,360.2,297.8,98.59,8
2024-10,SRV-E-007,srve007,10.1.107.17,54.5,75.4,77.2,82.2,77.2,282.9,17.3,99.97,4
2024-10,SRV-E-009,srve009,10.1.109.19,45.2,60.5,42.4,48.9,68.2,7.8,99.2,98.69,8
2024-10,SRV-E-010,srve010,10.1.110.20,14.6,29.1,56.2,73.8,73.0,35.7,18.4,99.5,10
2024-10,SRV-E-011,srve011,10.1.111.21,25.2,42.1,60.7,75.9,41.2,432.9,197.2,98.74,6
2024-10,SRV-E-012,srve012,10.1.112.22,16.9,27.0,49.6,60.3,34.6,392.4,246.5,98.93,11
2024-10,SRV-E-013,srve013,10.1.113.23,54.1,77.3,42.7,56.5,41.0,35.5,52.6,98.77,8
2024-10,SRV-E-014,srve014,10.1.114.24,41.2,55.1,75.4,87.3,39.7,285.1,230.9,99.91,12
2024-10,SRV-E-015,srve015,10.1.115.25,22.3,44.8,58.2,76.4,45.6,17.3,74.6,99.98,1
2024-10,SRV-E-016,srve016,10.1.116.26,59.8,75.2,34.1,48.6,71.6,7.0,265.8,99.38,2
2024-10,SRV-E-017,srve017,10.1.117.27,46.1,64.3,31.2,40.4,49.8,418.2,195.8,99.64,2
2024-10,SRV-E-018,srve018,10.1.118.28,14.0,34.0,51.0,67.9,77.1,20.0,232.2,99.22,12
2024-10,SRV-E-019,srve019,10.1.119.29,65.2,75.5,45.6,55.2,50.5,76.3,20.0,99.92,1
2024-10,SRV-E-020,srve020,10.1.100.30,44.6,58.6,59.3,68.2,63.8,226.7,38.1,99.52,1
2024-10,SRV-E-021,srve021,10.1.101.31,33.7,55.4,70.5,82.7,33.4,178.1,123.6,98.62,10
2024-10,SRV-E-022,srve022,10.1.110.45,69.5,92.0,36.7,50.6,80.3,183.9,36.7,98.94,10
2024-10,SRV-E-024,srve024,10.1.104.34,48.1,71.0,67.0,80.1,77.3,448.3,259.5,98.84,1
2024-10,SRV-E-025,srve025,10.1.105.35,46.7,57.7,67.1,83.9,45.3,132.3,160.8,99.87,2
2024-10,SRV-E-026,srve026,10.1.106.36,58.5,82.6,38.2,46.5,78.9,106.3,228.4,98.99,9
2024-10,SRV-E-027,srve027,10.1.107.37,62.6,75.4,51.1,66.0,66.5,345.4,136.0,99.29,5
2024-10,SRV-E-028,srve028,10.1.108.38,34.0,46.4,35.1,47.0,79.2,410.0,290.6,98.77,3
2024-10,SRV-E-029,srve029,10.1.109.39,21.7,46.4,74.5,89.3,80.3,90.3,26.8,99.23,4
2024-10,SRV-E-030,srve030,10.1.110.40,49.4,74.0,37.2,45.6,62.0,441.0,80.6,98.88,12
2024-10,SRV-E-031,srve031,10.1.111.41,61.3,72.3,39.9,51.1,31.1,101.7,126.2,99.11,2
2024-10,SRV-E-032,srve032,10.1.112.42,9.3,27.6,71.7,77.7,41.0,372.1,28.7,98.77,5
2024-10,SRV-E-033,srve033,10.1.113.43,54.9,75.1,42.3,54.3,62.9,204.3,4.7,99.56,9
2024-10,SRV-E-034,srve034,10.1.114.44,29.0,49.1,49.4,63.5,75.6,251.5,156.6,99.07,7
2024-10,SRV-E-035,srve035,10.1.115.45,64.5,77.5,41.3,48.2,48.4,7.0,238.6,99.46,6
2024-10,SRV-E-036,srve036,10.1.116.46,20.5,32.0,71.9,82.8,46.5,107.6,290.3,99.81,0
2024-10,SRV-E-037,srve037,10.1.117.47,8.1,31.8,41.5,46.6,53.2,13.2,134.3,98.6,2
2024-10,SRV-E-038,srve038,10.1.118.48,64.8,77.5,54.0,71.8,34.3,340.3,310.5,99.31,3
2024-10,SRV-E-039,srve039,10.1.119.49,11.8,25.4,80.2,86.4,64.2,262.8,78.0,98.67,10
2024-10,SRV-E-040,srve040,10.1.100.50,10.0,29.3,46.7,62.6,38.4,321.1,55.2,99.98,9
2024-10,SRV-E-041,srve041,10.1.101.51,20.5,34.6,52.6,60.2,44.5,144.6,149.6,99.13,8
2024-10,SRV-E-042,srve042,10.1.102.52,9.5,25.7,65.9,79.2,22.4,324.6,134.9,98.97,2
2024-10,SRV-E-043,srve043,10.1.103.53,49.0,66.5,30.3,46.2,73.4,45.8,75.4,99.42,7
2024-10,SRV-E-044,srve044,10.1.104.54,46.4,71.3,39.2,46.1,37.6,104.4,77.5,99.82,6
2024-10,SRV-E-045,srve045,10.1.105.55,66.7,78.1,47.6,55.6,49.0,172.5,195.3,99.29,10
2024-10,SRV-E-046,srve046,10.1.106.56,46.0,69.6,75.8,88.7,55.3,170.1,151.2,99.04,0
2024-10,SRV-E-047,srve047,10.1.107.57,35.2,54.5,65.9,77.9,38.7,421.7,12.2,99.27,4
2024-10,SRV-E-048,srve048,10.1.108.58,13.3,37.2,55.0,70.6,31.6,276.0,91.0,99.69,12
2024-10,SRV-E-049,srve049,10.1.109.59,30.8,47.8,57.9,72.7,34.4,440.9,303.5,99.09,1
2024-10,SRV-E-050,srve050,10.1.110.60,44.7,68.0,68.0,76.7,25.5,13.2,246.3,98.53,7
2024-10,SRV-E-051,srve051,10.1.111.61,13.8,34.2,32.4,47.5,71.8,102.0,69.7,99.06,11
2024-10,SRV-E-052,srve052,10.1.112.62,66.9,88.4,50.1,68.1,77.6,111.7,206.0,98.9,6
2024-10,SRV-E-053,srve053,10.1.113.63,13.5,34.8,40.6,48.7,30.3,409.8,23.9,98.87,10
2024-10,SRV-E-054,srve054,10.1.114.64,12.6,37.1,50.5,57.1,50.7,87.4,21.1,99.08,9
2024-10,SRV-E-055,srve055,10.1.115.65,69.5,85.8,35.8,46.8,55.5,273.4,124.2,99.94,11
2024-10,SRV-W-001,srvw001,10.2.101.11,59.1,69.3,54.3,62.3,70.5,255.5,38.0,98.84,3
2024-10,SRV-W-002,srvw002,10.2.102.12,71.7,83.8,80.9,94.7,35.2,115.8,107.6,99.19,1
2024-10,SRV-W-003,srvw003,10.2.103.13,29.7,44.8,51.9,66.0,59.4,136.8,195.7,99.66,10
2024-10,SRV-W-004,srvw004,10.2.104.14,43.1,64.1,51.7,68.4,45.4,443.9,82.9,99.13,7
2024-10,SRV-W-005,srvw005,10.2.105.15,10.8,21.6,34.5,43.0,28.9,299.4,101.1,99.73,4
2024-10,SRV-W-006,srvw006,10.2.106.16,15.6,37.8,32.1,37.2,52.6,367.5,200.8,99.35,4
2024-10,SRV-W-007,srvw007,10.2.107.17,16.7,36.1,62.0,68.8,32.4,258.4,317.4,98.79,0
2024-10,SRV-W-008,srvw008,10.2.108.18,49.1,69.9,58.2,64.4,29.2,19.6,125.0,98.82,12
2024-10,SRV-W-009,srvw009,10.2.109.19,42.7,56.7,64.5,78.9,65.4,42.3,111.1,99.11,7
2024-10,SRV-W-010,srvw010,10.2.110.20,42.6,57.2,58.1,64.7,34.7,300.7,4.6,99.62,12
2024-10,SRV-W-011,srvw011,10.2.111.21,28.9,46.8,42.7,55.6,54.5,386.9,252.5,99.82,7
2024-10,SRV-W-012,srvw012,10.2.112.22,57.9,81.5,74.9,88.4,50.6,193.5,7.3,99.5,12
2024-10,SRV-W-013,srvw013,10.2.113.23,26.5,41.7,38.5,44.8,58.4,157.5,166.9,98.55,0
2024-10,SRV-W-014,srvw014,10.2.114.24,28.3,49.0,65.9,77.6,42.5,165.0,50.0,99.71,3
2024-10,SRV-W-016,srvw016,10.2.116.26,40.2,54.9,41.2,47.1,74.8,424.3,216.2,98.67,9
2024-10,SRV-W-017,srvw017,10.2.117.27,30.4,43.5,59.2,67.0,46.0,245.2,276.1,98.76,6
2024-10,SRV-W-018,srvw018,10.2.118.28,14.6,28.4,54.1,68.0,22.7,344.7,178.9,98.73,10
2024-10,SRV-W-019,srvw019,10.2.119.29,28.1,39.9,35.6,51.5,29.1,410.8,88.8,99.81,8
