VLAN_ID,VLAN_Name,Subnet_CIDR,Gateway,DC_Location,Network_Zone,Purpose,Assigned_Server_Count,Max_Host_Capacity,Current_Utilization_Pct,Primary_Contact,Notable_Assignments
100,Mgmt-East,10.1.100.0/24,10.1.100.1,DC-East Virginia,Management,Network management and out-of-band access,8,254,3.1,T. Hartley,"SRV-E-001 (10.1.100.11), SRV-E-002 (10.1.100.12)"
101,Prod-East-A,10.1.101.0/24,10.1.101.1,DC-East Virginia,Internal-Production,Primary production application servers,18,254,7.1,D. Chen,"SRV-E-015 (10.1.101.25), SRV-E-003 (10.1.101.13), SRV-E-004 (10.1.101.14), SRV-E-005 (10.1.101.15)"
102,Prod-East-B,10.1.102.0/24,10.1.102.1,DC-East Virginia,Internal-Production,Secondary production application servers,15,254,5.9,D. Chen,"SRV-E-042 (10.1.102.52), SRV-E-043 (10.1.102.53), SRV-E-044 (10.1.102.54)"
103,Prod-East-C,10.1.103.0/24,10.1.103.1,DC-East Virginia,Internal-Production,Database and middleware tier,10,254,3.9,D. Chen,"SRV-E-010 (10.1.103.20), SRV-E-012 (10.1.103.22)"
104,Dev-East,10.1.104.0/24,10.1.104.1,DC-East Virginia,Internal-Development,Development and staging environment,8,254,3.1,M. Santos,
105,Storage-East,10.1.105.0/24,10.1.105.1,DC-East Virginia,Storage,SAN and NAS storage network,6,254,2.4,D. Chen,
106,Backup-East,10.1.106.0/24,10.1.106.1,DC-East Virginia,Backup,Backup and replication traffic,4,254,1.6,D. Chen,
110,DMZ-East,10.1.110.0/24,10.1.110.1,DC-East Virginia,DMZ,External-facing services and reverse proxies,6,254,2.4,R. Kim,"SRV-E-022 (10.1.110.45), SRV-E-011 (10.1.110.12), SRV-E-026 (10.1.110.36)"
111,DMZ-East-WAF,10.1.111.0/24,10.1.111.1,DC-East Virginia,DMZ,Web application firewall tier,3,254,1.2,R. Kim,
115,iSCSI-East,10.1.115.0/24,10.1.115.1,DC-East Virginia,Storage,iSCSI storage traffic isolation,12,254,4.7,D. Chen,
120,VMotion-East,10.1.120.0/24,10.1.120.1,DC-East Virginia,Management,VMware vMotion traffic,20,254,7.9,D. Chen,
125,Heartbeat-East,10.1.125.0/24,10.1.125.1,DC-East Virginia,Management,Cluster heartbeat and quorum network,6,254,2.4,D. Chen,
200,Mgmt-West,10.2.200.0/24,10.2.200.1,DC-West Oregon,Management,Network management and out-of-band access,5,254,2.0,T. Hartley,
201,Prod-West-A,10.2.201.0/24,10.2.201.1,DC-West Oregon,Internal-Production,Primary production application servers,14,254,5.5,D. Chen,"SRV-W-031 (10.2.201.41), SRV-W-032 (10.2.201.42), SRV-W-034 (10.2.201.44)"
202,Prod-West-B,10.2.202.0/24,10.2.202.1,DC-West Oregon,Internal-Production,Secondary production and DR servers,12,254,4.7,D. Chen,"SRV-W-009 (10.2.202.19), SRV-W-010 (10.2.202.20)"
203,Prod-West-C,10.2.203.0/24,10.2.203.1,DC-West Oregon,Internal-Production,Database tier and analytics cluster,8,254,3.1,D. Chen,
204,Dev-West,10.2.204.0/24,10.2.204.1,DC-West Oregon,Internal-Development,Development and QA environment,6,254,2.4,M. Santos,
205,Storage-West,10.2.205.0/24,10.2.205.1,DC-West Oregon,Storage,SAN and NAS storage network,4,254,1.6,D. Chen,
206,Backup-West,10.2.206.0/24,10.2.206.1,DC-West Oregon,Backup,Backup and replication traffic,3,254,1.2,D. Chen,
210,DMZ-West,10.2.210.0/24,10.2.210.1,DC-West Oregon,DMZ,External-facing services and load balancers,4,254,1.6,R. Kim,"SRV-W-022 (10.2.210.32), SRV-W-025 (10.2.210.35)"
215,iSCSI-West,10.2.215.0/24,10.2.215.1,DC-West Oregon,Storage,iSCSI storage traffic isolation,8,254,3.1,D. Chen,
220,VMotion-West,10.2.220.0/24,10.2.220.1,DC-West Oregon,Management,VMware vMotion traffic,14,254,5.5,D. Chen,
300,Mgmt-Central,10.3.300.0/24,10.3.300.1,DC-Central Illinois,Management,Network management and out-of-band access,4,254,1.6,T. Hartley,
301,Prod-Central-A,10.3.301.0/24,10.3.301.1,DC-Central Illinois,Internal-Production,Primary production application servers,16,254,6.3,D. Chen,"SRV-C-012 (10.3.301.22), SRV-C-003 (10.3.301.13), SRV-C-005 (10.3.301.15)"
302,Prod-Central-B,10.3.302.0/24,10.3.302.1,DC-Central Illinois,Internal-Production,Secondary production and middleware,14,254,5.5,D. Chen,"SRV-C-028 (10.3.302.38), SRV-C-042 (10.3.302.52)"
303,Prod-Central-C,10.3.303.0/24,10.3.303.1,DC-Central Illinois,Internal-Production,Database tier servers,8,254,3.1,D. Chen,
304,Dev-Central,10.3.304.0/24,10.3.304.1,DC-Central Illinois,Internal-Development,Development and test environment,5,254,2.0,M. Santos,
305,Storage-Central,10.3.305.0/24,10.3.305.1,DC-Central Illinois,Storage,SAN and NAS storage network,4,254,1.6,D. Chen,
306,Backup-Central,10.3.306.0/24,10.3.306.1,DC-Central Illinois,Backup,Backup and replication traffic,3,254,1.2,D. Chen,
310,DMZ-Central,10.3.310.0/24,10.3.310.1,DC-Central Illinois,DMZ,External-facing services and VPN concentrators,3,254,1.2,R. Kim,
315,iSCSI-Central,10.3.315.0/24,10.3.315.1,DC-Central Illinois,Storage,iSCSI storage traffic isolation,6,254,2.4,D. Chen,
320,VMotion-Central,10.3.320.0/24,10.3.320.1,DC-Central Illinois,Management,VMware vMotion traffic,12,254,4.7,D. Chen,
900,WAN-InterDC,172.16.0.0/24,172.16.0.1,Cross-Site,Management,Inter-data center WAN transit VLAN,6,254,2.4,T. Hartley,
901,Replication-InterDC,172.16.1.0/24,172.16.1.1,Cross-Site,Backup,Cross-site replication and DR sync traffic,6,254,2.4,D. Chen,
902,VLAN-902,10.3.152.0,255.255.255.0,10.3.152.1,Management,DC-Central Illinois,Infrastructure subnet for Management,13 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,12,4.7
903,VLAN-903,10.2.153.0,255.255.255.0,10.2.153.1,Management,DC-West Oregon,Infrastructure subnet for Management,12 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,13,5.1
904,VLAN-904,10.3.154.0,255.255.255.0,10.3.154.1,Management,DC-Central Illinois,Infrastructure subnet for Management,13 servers assigned,No,10.3.300.5,10.3.300.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,2,0.8
905,VLAN-905,10.1.155.0,255.255.255.0,10.1.155.1,Management,DC-East Virginia,Infrastructure subnet for Management,7 servers assigned,No,10.1.100.5,10.1.100.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,16,6.3
906,VLAN-906,10.2.156.0,255.255.255.0,10.2.156.1,Internal-Production,DC-West Oregon,Infrastructure subnet for Internal-Production,2 servers assigned,Yes,10.2.200.5,10.2.200.6,FW-INTERNAL-PRODUCTION-STD,ACL-INTERNAL-PRODUCTION-TIER,254,16,6.3
907,VLAN-907,10.2.157.0,255.255.255.0,10.2.157.1,Management,DC-West Oregon,Infrastructure subnet for Management,2 servers assigned,No,10.2.200.5,10.2.200.6,FW-MANAGEMENT-STD,ACL-MANAGEMENT-TIER,254,2,0.8
908,VLAN-908,10.3.158.0,255.255.255.0,10.3.158.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,2 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,2,0.8
909,VLAN-909,10.2.159.0,255.255.255.0,10.2.159.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,5 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,20,7.9
910,VLAN-910,10.3.160.0,255.255.255.0,10.3.160.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,14 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,15,5.9
911,VLAN-911,10.1.161.0,255.255.255.0,10.1.161.1,Storage,DC-East Virginia,Infrastructure subnet for Storage,6 servers assigned,No,10.1.100.5,10.1.100.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,14,5.5
912,VLAN-912,10.3.162.0,255.255.255.0,10.3.162.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,9 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,10,3.9
913,VLAN-913,10.1.163.0,255.255.255.0,10.1.163.1,DMZ,DC-East Virginia,Infrastructure subnet for DMZ,15 servers assigned,No,10.1.100.5,10.1.100.6,FW-DMZ-STD,ACL-DMZ-TIER,254,15,5.9
914,VLAN-914,10.3.164.0,255.255.255.0,10.3.164.1,DMZ,DC-Central Illinois,Infrastructure subnet for DMZ,15 servers assigned,No,10.3.300.5,10.3.300.6,FW-DMZ-STD,ACL-DMZ-TIER,254,3,1.2
915,VLAN-915,10.2.165.0,255.255.255.0,10.2.165.1,Storage,DC-West Oregon,Infrastructure subnet for Storage,5 servers assigned,No,10.2.200.5,10.2.200.6,FW-STORAGE-STD,ACL-STORAGE-TIER,254,12,4.7
916,VLAN-916,10.3.166.0,255.255.255.0,10.3.166.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,7 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,1,0.4
917,VLAN-917,10.3.167.0,255.255.255.0,10.3.167.1,Internal-Development,DC-Central Illinois,Infrastructure subnet for Internal-Development,9 servers assigned,Yes,10.3.300.5,10.3.300.6,FW-INTERNAL-DEVELOPMENT-STD,ACL-INTERNAL-DEVELOPMENT-TIER,254,1,0.4
918,VLAN-918,10.3.168.0,255.255.255.0,10.3.168.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,4 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,11,4.3
919,VLAN-919,10.3.169.0,255.255.255.0,10.3.169.1,Internal-Database,DC-Central Illinois,Infrastructure subnet for Internal-Database,3 servers assigned,No,10.3.300.5,10.3.300.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,13,5.1
920,VLAN-920,10.1.170.0,255.255.255.0,10.1.170.1,Backup,DC-East Virginia,Infrastructure subnet for Backup,14 servers assigned,No,10.1.100.5,10.1.100.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,19,7.5
921,VLAN-921,10.1.171.0,255.255.255.0,10.1.171.1,Internal-Database,DC-East Virginia,Infrastructure subnet for Internal-Database,15 servers assigned,No,10.1.100.5,10.1.100.6,FW-INTERNAL-DATABASE-STD,ACL-INTERNAL-DATABASE-TIER,254,6,2.4
922,VLAN-922,10.2.172.0,255.255.255.0,10.2.172.1,Backup,DC-West Oregon,Infrastructure subnet for Backup,8 servers assigned,No,10.2.200.5,10.2.200.6,FW-BACKUP-STD,ACL-BACKUP-TIER,254,8,3.1
